2022-05-27 16:54:57.605343	https://www.encodeproject.org/report/?type=Experiment&status=released&internal_tags=RushAD&limit=all
ID	Accession	Assay name	Assay title	Target	Target of assay	Target gene symbol	Biosample summary	Biosample term name	Dbxrefs	Description	Lab	Project	Status	Files	Related series	Biosample accession	Biological replicate	Technical replicate	Linked antibody	Organism	Life stage	Biosample age	Biosample treatment	Biosample treatment ontology ID	Biosample treatment amount	Biosample treatment amount units	Biosample treatment duration	Biosample treatment duration units	Synchronization	Post-synchronization time	Post-synchronization time units	Biosample modification site target organism	Biosample modification site introduced gene organism	Replicates	Mixed biosamples	Cellular component	Library construction platform	Library construction method
/experiments/ENCSR579RVI/	ENCSR579RVI	DNase-seq	DNase-seq				Homo sapiens with Alzheimer's disease; posterior cingulate gyrus tissue female adult (90 or above years)	posterior cingulate gyrus	GEO:GSE187524		John Stamatoyannopoulos, UW	ENCODE	released	/files/ENCFF059YXA/,/files/ENCFF539AMI/,/files/ENCFF873YHK/,/files/ENCFF239ODM/,/files/ENCFF391NWO/,/files/ENCFF681MKR/,/files/ENCFF290JDE/,/files/ENCFF470UOI/,/files/ENCFF541XCI/,/files/ENCFF012LTE/,/files/ENCFF741SGT/,/files/ENCFF441AFX/,/files/ENCFF701ICW/,/files/ENCFF551TMW/,/files/ENCFF145VKP/,/files/ENCFF290PRY/	/disease-series/ENCSR640MJN/	ENCBS589FFO	1	1		Homo sapiens	adult	90 or above years												/replicates/cfaa6ea9-3d84-4470-a814-519664ef4d70/				
/experiments/ENCSR849WGE/	ENCSR849WGE	DNase-seq	DNase-seq				Homo sapiens middle frontal area 46 tissue male adult (84 years)	middle frontal area 46	GEO:GSE170319		John Stamatoyannopoulos, UW	ENCODE	released	/files/ENCFF212CAT/,/files/ENCFF432RWW/,/files/ENCFF239WSW/,/files/ENCFF077MCD/,/files/ENCFF525DQO/,/files/ENCFF216FNC/,/files/ENCFF186QXX/,/files/ENCFF303VMY/,/files/ENCFF221VIF/,/files/ENCFF420GSZ/,/files/ENCFF726ELY/,/files/ENCFF100UJA/,/files/ENCFF422TZL/,/files/ENCFF477CEG/,/files/ENCFF242HDL/,/files/ENCFF803PNZ/	/disease-series/ENCSR694JPJ/	ENCBS442HZW	1	1		Homo sapiens	adult	84 years												/replicates/711c54dc-5c09-498f-a384-a4f012e87504/				
/experiments/ENCSR036OBW/	ENCSR036OBW	ChIP-seq	Histone ChIP-seq	/targets/H3K27me3-human/	H3K27me3	HIST2H3A,HIST2H3D,HIST2H3C	Homo sapiens with mild cognitive impairment; middle frontal area 46 tissue male adult (90 or above years)	middle frontal area 46		H3K27me3 ChIP-seq on middle frontal area 46 tissue male adult (90 or above years) with mild cognitive impairment	Bradley Bernstein, Broad	ENCODE	released	/files/ENCFF240CDF/,/files/ENCFF356XFA/,/files/ENCFF896ZBZ/,/files/ENCFF299TGH/,/files/ENCFF173QJZ/,/files/ENCFF187BEF/,/files/ENCFF632EQX/,/files/ENCFF500FEK/,/files/ENCFF784CFJ/,/files/ENCFF623OUJ/,/files/ENCFF800TBT/,/files/ENCFF241THM/,/files/ENCFF472EVZ/,/files/ENCFF344YKJ/	/disease-series/ENCSR955DXN/	ENCBS049LCH	1	1,2	ENCAB273TMQ	Homo sapiens	adult	90 or above years												/replicates/c2f35aad-6a4a-48c5-8388-f236191c3836/,/replicates/7d8bfe06-85e6-4295-8316-4e003d22507a/				
/experiments/ENCSR128YOH/	ENCSR128YOH	ChIP-seq	Histone ChIP-seq	/targets/H3K4me3-human/	H3K4me3	HIST2H3A,HIST2H3D,HIST2H3C	Homo sapiens middle frontal area 46 tissue female adult (79 years)	middle frontal area 46	GEO:GSE187069	H3K4me3 ChIP-seq on middle frontal area 46 tissue female adult (79 years).	Bradley Bernstein, Broad	ENCODE	released	/files/ENCFF553RIU/,/files/ENCFF457SXF/,/files/ENCFF282EQT/,/files/ENCFF945XHN/,/files/ENCFF752CKP/,/files/ENCFF732HPN/,/files/ENCFF568HLJ/,/files/ENCFF905KXW/,/files/ENCFF018JNZ/,/files/ENCFF615FJQ/,/files/ENCFF584CAX/,/files/ENCFF571TFE/,/files/ENCFF018CKO/,/files/ENCFF561APP/,/files/ENCFF619PWN/,/files/ENCFF090OLH/,/files/ENCFF766WFA/,/files/ENCFF525EJT/,/files/ENCFF301FBS/,/files/ENCFF352KXC/,/files/ENCFF711EZK/,/files/ENCFF551PCH/	/disease-series/ENCSR212ASC/	ENCBS246FGU,ENCBS836MZE	1,2	1,2,3	ENCAB140BWE	Homo sapiens	adult	79 years												/replicates/0642652f-4618-478b-95ad-5c3637ef40c5/,/replicates/fbbed3f0-4bf4-4f80-bb0d-66e845e43766/,/replicates/45f0185e-6c61-462c-958a-a9951225ee0f/,/replicates/7ab12ce1-4e51-49c3-88a5-a5aa1692f569/,/replicates/ec5cf83e-a393-40af-bd76-2e2e97d7a993/				
/experiments/ENCSR405BDN/	ENCSR405BDN	ChIP-seq	Control ChIP-seq				Homo sapiens middle frontal area 46 tissue female adult (82 years)	middle frontal area 46		Control ChIP-seq on middle frontal area 46 tissue female adult (82 years).	Bradley Bernstein, Broad	ENCODE	released	/files/ENCFF139APE/,/files/ENCFF702KBP/,/files/ENCFF890ZJR/,/files/ENCFF013TZB/,/files/ENCFF028USO/,/files/ENCFF458JSZ/,/files/ENCFF475GLP/,/files/ENCFF859HVR/,/files/ENCFF620PKH/,/files/ENCFF579FLB/		ENCBS712RMD	1	1,2		Homo sapiens	adult	82 years												/replicates/ca1f994b-ea0a-4fe6-a548-af337024457c/,/replicates/508a21fc-1b4b-4357-a1aa-d11df05a02a7/				
/experiments/ENCSR634QZP/	ENCSR634QZP	ChIP-seq	Control ChIP-seq				Homo sapiens middle frontal area 46 tissue female adult (90 or above years)	middle frontal area 46	GEO:GSE187688	Control ChIP-seq on middle frontal area 46 tissue female adult (90 or above years).	Bradley Bernstein, Broad	ENCODE	released	/files/ENCFF897ZWR/,/files/ENCFF491YYW/,/files/ENCFF066BXS/,/files/ENCFF402XNK/,/files/ENCFF737RAQ/,/files/ENCFF943FCI/,/files/ENCFF968EXV/,/files/ENCFF752QHN/,/files/ENCFF767KGR/,/files/ENCFF834UNW/		ENCBS868XXM	1	1,2		Homo sapiens	adult	90 or above years												/replicates/2389e395-eb6a-4f4e-8f54-1aa44e5246f6/,/replicates/46fa69eb-4142-4b3d-9f99-1038ae287e96/				
/experiments/ENCSR570BWW/	ENCSR570BWW	DNase-seq	DNase-seq				Homo sapiens with Alzheimer's disease; middle frontal area 46 tissue female adult (89 years)	middle frontal area 46	GEO:GSE170759		John Stamatoyannopoulos, UW	ENCODE	released	/files/ENCFF599SEN/,/files/ENCFF704LNN/,/files/ENCFF710GWD/,/files/ENCFF405FVS/,/files/ENCFF851EPP/,/files/ENCFF261QAY/,/files/ENCFF617EFC/,/files/ENCFF930QMQ/,/files/ENCFF946KEJ/,/files/ENCFF379KEV/,/files/ENCFF522HXC/,/files/ENCFF067GXF/,/files/ENCFF647TPO/,/files/ENCFF029BLV/,/files/ENCFF318DDE/,/files/ENCFF100GSU/,/files/ENCFF419VOK/,/files/ENCFF151TKI/	/disease-series/ENCSR835WYO/	ENCBS159OJV	1	1		Homo sapiens	adult	89 years												/replicates/3cecb43d-83e7-446c-b6db-cdcf25fdac18/				
/experiments/ENCSR372JWF/	ENCSR372JWF	ChIP-seq	TF ChIP-seq	/targets/CTCF-human/	CTCF	CTCF	Homo sapiens middle frontal area 46 tissue male adult (71 years)	middle frontal area 46	GEO:GSE187322	CTCF ChIP-seq on dorsolateral prefrontal cortex tissue male adult (71 years) originated from dorsolateral prefrontal cortex	Bradley Bernstein, Broad	ENCODE	released	/files/ENCFF322OOS/,/files/ENCFF803TMW/,/files/ENCFF098RGD/,/files/ENCFF866DVR/,/files/ENCFF054HUW/,/files/ENCFF673MBQ/,/files/ENCFF302VKL/,/files/ENCFF691LBT/,/files/ENCFF491NJI/,/files/ENCFF843CVJ/,/files/ENCFF881GDD/,/files/ENCFF245PVD/,/files/ENCFF054VGA/,/files/ENCFF816YAI/,/files/ENCFF269DHR/	/disease-series/ENCSR878MYB/	ENCBS552CLR	1	1,2	ENCAB719MQZ	Homo sapiens	adult	71 years												/replicates/70c4add5-3c92-465c-a97b-60147575ac72/,/replicates/b5aafe0a-0500-4d1b-a59c-5d072719b6c1/				
/experiments/ENCSR852AYS/	ENCSR852AYS	ChIP-seq	Histone ChIP-seq	/targets/H3K27me3-human/	H3K27me3	HIST2H3A,HIST2H3D,HIST2H3C	Homo sapiens middle frontal area 46 tissue female adult (90 or above years)	middle frontal area 46		H3K27me3 ChIP-seq on middle frontal area 46 tissue female adult (90 or above years)	Bradley Bernstein, Broad	ENCODE	released	/files/ENCFF744GKZ/,/files/ENCFF482ZYN/,/files/ENCFF873WIK/,/files/ENCFF235WTN/,/files/ENCFF191FCV/,/files/ENCFF608XGC/,/files/ENCFF467FKT/,/files/ENCFF232FHN/,/files/ENCFF125NQK/,/files/ENCFF230HUP/,/files/ENCFF044BNL/,/files/ENCFF318NJD/,/files/ENCFF779UVO/,/files/ENCFF569UTR/,/files/ENCFF552IAL/,/files/ENCFF864YZX/,/files/ENCFF094OZJ/,/files/ENCFF254DDJ/	/disease-series/ENCSR295TBA/	ENCBS227KZL,ENCBS630ZNN	1,2	1,2	ENCAB273TMQ,ENCAB009VWX	Homo sapiens	adult	90 or above years												/replicates/62f7272a-a02e-41a5-8901-58270c433a71/,/replicates/9c3ccc6f-eddf-476b-9279-3500a5fc82fe/,/replicates/791e4462-4f5d-4be5-a7a8-33f740a376c9/,/replicates/c8845c47-a15b-416e-bb33-965714ae54e8/				
/experiments/ENCSR875PYX/	ENCSR875PYX	ChIP-seq	Histone ChIP-seq	/targets/H3K4me3-human/	H3K4me3	HIST2H3A,HIST2H3D,HIST2H3C	Homo sapiens middle frontal area 46 tissue male adult (83 years)	middle frontal area 46		H3K4me3 ChIP-seq on middle frontal area 46 tissue male adult (83 years)	Bradley Bernstein, Broad	ENCODE	released	/files/ENCFF672QOP/,/files/ENCFF974OBA/,/files/ENCFF077AJK/,/files/ENCFF744DZZ/,/files/ENCFF627RKD/,/files/ENCFF959IUV/,/files/ENCFF297ZNB/,/files/ENCFF809OAB/,/files/ENCFF730XOV/,/files/ENCFF009ORT/,/files/ENCFF763KTR/,/files/ENCFF999DBX/,/files/ENCFF398NVN/,/files/ENCFF522WRJ/	/disease-series/ENCSR678GIG/	ENCBS485UEI	1	2,1	ENCAB140BWE	Homo sapiens	adult	83 years												/replicates/584d94c5-619f-482f-a2da-e0ffee391274/,/replicates/bc794b60-ecb9-4fea-9f17-2e14ea485197/				
/experiments/ENCSR064PTX/	ENCSR064PTX	ChIP-seq	Histone ChIP-seq	/targets/H3K27me3-human/	H3K27me3	HIST2H3A,HIST2H3D,HIST2H3C	Homo sapiens with Alzheimer's disease; middle frontal area 46 tissue female adult (89 years)	middle frontal area 46	GEO:GSE187255	H3K27me3 ChIP-seq on middle frontal area 46 tissue female adult (89 years) with Alzheimer's disease	Bradley Bernstein, Broad	ENCODE	released	/files/ENCFF908PPG/,/files/ENCFF262CSY/,/files/ENCFF922WYS/,/files/ENCFF050NRU/,/files/ENCFF415LIS/,/files/ENCFF874EVY/,/files/ENCFF560JMI/,/files/ENCFF357ISR/,/files/ENCFF875ASD/,/files/ENCFF789SJD/,/files/ENCFF881FVL/,/files/ENCFF863PPK/,/files/ENCFF318CAY/,/files/ENCFF644JBY/	/disease-series/ENCSR835WYO/	ENCBS967JLM	1	1,2	ENCAB009VWX	Homo sapiens	adult	89 years												/replicates/e14812c7-823f-46ee-a839-f0453300a063/,/replicates/2deb19ca-8487-46be-aa7d-d60279c2b490/				
/experiments/ENCSR634DME/	ENCSR634DME	ChIP-seq	Histone ChIP-seq	/targets/H3K27me3-human/	H3K27me3	HIST2H3A,HIST2H3D,HIST2H3C	Homo sapiens with Alzheimer's disease; middle frontal area 46 tissue female adult (89 years)	middle frontal area 46		H3K27me3 ChIP-seq on middle frontal area 46 tissue female adult (89 years) with Alzheimer's disease	Bradley Bernstein, Broad	ENCODE	released	/files/ENCFF373IRJ/,/files/ENCFF157ZPV/,/files/ENCFF291BUR/,/files/ENCFF807IDV/,/files/ENCFF777ZLY/,/files/ENCFF963JLA/,/files/ENCFF831ZNK/,/files/ENCFF088VVI/,/files/ENCFF452WRZ/,/files/ENCFF388LVO/,/files/ENCFF782XQX/,/files/ENCFF276LSC/,/files/ENCFF654VVC/,/files/ENCFF985JCG/	/disease-series/ENCSR397ZAE/	ENCBS647UCT	1	2,1	ENCAB009VWX	Homo sapiens	adult	89 years												/replicates/31ec17a9-ab37-4ea7-882a-e872438c75e6/,/replicates/8c412188-ade8-47fb-8dde-d135da9ca291/				
